,stats.DBNOs,stats.assists,stats.boosts,stats.damageDealt,stats.deathType,stats.headshotKills,stats.heals,stats.killPlace,stats.killStreaks,stats.kills,stats.longestKill,stats.name,stats.playerId,stats.revives,stats.rideDistance,stats.roadKills,stats.swimDistance,stats.teamKills,stats.timeSurvived,stats.vehicleDestroys,stats.walkDistance,stats.weaponsAcquired,stats.winPlace
0,0.0,0.0,2.0,0.0,byplayer,0.0,1.0,40.0,0.0,0.0,0.0,Scotty_Drippin33,account.dd3effd0b9754915ad4ad9d6e9edbb8b,0.0,1379.4823,0.0,0.0,0.0,1147.0,0.0,1430.7711,4.0,10.0
0,0.0,2.0,2.0,35.02364,byplayer,0.0,1.0,31.0,0.0,0.0,0.0,Krono365,account.8365574e511d4bb1b20444417922320e,0.0,3878.2502,0.0,0.0,0.0,1296.0,0.0,1524.8973,4.0,7.0
0,1.0,0.0,4.0,100.0,byplayer,1.0,1.0,22.0,1.0,1.0,61.13189,MSHFAM2020,account.1e07184c9ba84e77a08b813913ac139c,0.0,4281.2915,0.0,0.0,0.0,986.0,0.0,1669.1058,6.0,11.0
0,,,,,,,,,,,,,,,,,,,,,,,
0,1.0,0.0,3.0,362.61935,byplayer,1.0,1.0,10.0,2.0,2.0,75.91418,Wicho5744,account.1975ea16db624fe48200b085db741b8e,0.0,5903.955,0.0,0.0,0.0,1316.0,1.0,986.3289,3.0,9.0
0,0.0,1.0,0.0,147.5818,byplayer,0.0,0.0,30.0,0.0,0.0,0.0,TTP JosiKo,account.dab0b141c63a4cada28ff2d43fd8309e,0.0,3934.328,0.0,0.0,0.0,1376.0,0.0,1742.0631,6.0,7.0
0,0.0,0.0,9.0,69.6,byplayer,0.0,9.0,27.0,0.0,0.0,0.0,DND W4DE,account.1d998f441e1649339b2d3cd81ba78f07,0.0,2883.2554,0.0,0.0,0.0,1620.0,0.0,1545.2527,3.0,6.0
0,0.0,0.0,3.0,134.72838,byplayer,0.0,3.0,19.0,1.0,1.0,8.895131,Gr0mplekilskin,account.2ada49afe4284830a1c93379e6434ca3,0.0,7157.072,0.0,0.0,0.0,1475.0,0.0,1324.1324,7.0,5.0
0,2.0,0.0,5.0,369.99207,byplayer,0.0,1.0,25.0,0.0,0.0,0.0,mVizil,account.9ecae18b73534e8387c74f65cb608368,0.0,5304.504,0.0,0.0,0.0,1753.0,0.0,1907.9067,3.0,4.0
0,0.0,0.0,0.0,0.0,byplayer,0.0,0.0,59.0,0.0,0.0,0.0,joaozitho619,account.324dd9a7922744b892b7295958774d21,0.0,0.0,0.0,0.0,0.0,496.0,0.0,994.63654,4.0,16.0
0,1.0,1.0,7.0,149.93379,byplayer,1.0,2.0,13.0,1.0,1.0,114.848366,OT4L Skazy,account.24b0cc022ad549f08dc46b5b91f96b22,3.0,6318.4395,0.0,0.0,0.0,1871.0,0.0,2267.3232,5.0,2.0
0,0.0,0.0,2.0,0.0,byplayer,0.0,5.0,33.0,0.0,0.0,0.0,DadGAR2016,account.1026da85d3734206a870413229123d2b,0.0,0.0,0.0,0.0,0.0,1355.0,0.0,2162.9768,4.0,8.0
0,0.0,0.0,4.0,0.0,suicide,0.0,3.0,47.0,0.0,0.0,0.0,vampireslayer76,account.d01a5f2e2af0424695e9c12347c2878b,0.0,1896.6998,0.0,0.0,0.0,980.0,0.0,2645.4587,6.0,12.0
0,0.0,0.0,0.0,59.95536,byplayer,0.0,0.0,55.0,0.0,0.0,0.0,JakeCoyleSux,account.c37aeabc30f94975965e080e5d0b02ba,0.0,934.2517,0.0,0.0,0.0,459.0,0.0,898.6891,1.0,15.0
0,3.0,0.0,4.0,415.90567,byplayer,1.0,2.0,6.0,1.0,3.0,60.13869,BIG O EARS,account.9359144862f74330a530adb01e3b8ec6,0.0,6406.4067,0.0,0.0,0.0,1865.0,0.0,1446.3403,6.0,2.0
0,3.0,0.0,12.0,207.42178,byplayer,1.0,5.0,8.0,1.0,2.0,100.49452,Br lucsa,account.34f94413fca3434a97bb72b62e242150,0.0,5881.498,0.0,0.0,0.0,1870.0,0.0,1922.5936,4.0,2.0
0,0.0,0.0,5.0,154.18718,suicide,0.0,1.0,24.0,0.0,0.0,0.0,NGB CACHIS,account.3a2be2b3b69943a3b96fea8453939cad,1.0,0.0,0.0,0.0,0.0,1663.0,0.0,1083.1637,6.0,3.0
0,0.0,0.0,2.0,0.0,byplayer,0.0,0.0,56.0,0.0,0.0,0.0,ahole2u3,account.9b35c6c14c844dafba3c3422661c3dd8,0.0,3139.9702,0.0,0.0,0.0,737.0,0.0,1925.2546,3.0,16.0
0,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,
0,2.0,0.0,6.0,392.33768,byplayer,0.0,3.0,23.0,0.0,0.0,0.0,CHOCALHO SHBR,account.2440a5ac03c14fc2a5512f9e169bb4b0,1.0,6419.3438,0.0,0.0,0.0,1953.0,0.0,2087.328,6.0,2.0
0,0.0,0.0,0.0,56.4,byplayer,0.0,0.0,58.0,0.0,0.0,0.0,PrimeLocket5,account.914264ddeb814d27a278917a8e89cdc6,0.0,0.0,0.0,0.0,0.0,626.0,0.0,1624.0961,4.0,16.0
0,5.0,8.0,11.0,794.0059,alive,0.0,4.0,3.0,2.0,5.0,55.94558,ParC Edw4r,account.d447a75f0bb64e0e8c54c5d18f03d220,1.0,9132.352,0.0,0.0,0.0,1960.631,0.0,2731.835,5.0,1.0
0,0.0,0.0,0.0,0.0,byplayer,0.0,0.0,52.0,0.0,0.0,0.0,CleanerSand7622,account.9d7a4794c589467f94efc1302bbde428,0.0,0.0,0.0,0.0,0.0,912.0,0.0,1955.4194,4.0,14.0
0,0.0,0.0,3.0,114.671036,byplayer,0.0,0.0,43.0,0.0,0.0,0.0,lMiller9l,account.2774d123d65844a0b8e5d0fadf7a7719,0.0,2176.6345,0.0,0.0,0.0,943.0,0.0,1961.6558,5.0,11.0
0,1.0,0.0,0.0,100.0,byplayer,0.0,3.0,41.0,0.0,0.0,0.0,RhetoriicX,account.ec064050be0143ea823b502c8c6910ca,0.0,6099.2056,0.0,0.0,0.0,1064.0,0.0,1377.4009,7.0,11.0
0,5.0,3.0,10.0,548.7425,alive,0.0,8.0,1.0,2.0,6.0,62.465225,ParC Akile,account.98302e2c56444da9bb9144008ba75d1c,2.0,8069.288,0.0,0.0,0.0,1960.631,0.0,3068.8706,7.0,1.0
0,0.0,0.0,5.0,0.0,suicide,0.0,6.0,45.0,0.0,0.0,0.0,YaK Unholy,account.f44e4b8b67424f9888a2da14a1b59072,0.0,5101.7256,0.0,0.0,0.0,1011.0,1.0,2446.5774,8.0,12.0
0,0.0,0.0,4.0,47.879997,byplayer,0.0,3.0,54.0,0.0,0.0,0.0,SOMETIMENINE420,account.9324eee595e24be9b3a3d5c5b6781df7,0.0,7110.8306,0.0,0.0,0.0,809.0,0.0,594.915,5.0,15.0
0,0.0,0.0,0.0,10.701125,byplayer,0.0,0.0,37.0,0.0,0.0,0.0,MBK sh0wT1ME,account.ca1df662485643108f0805a3833df4a9,0.0,4519.8296,0.0,0.0,0.0,615.0,0.0,686.2629,6.0,9.0
0,0.0,2.0,3.0,300.4481,byplayer,0.0,5.0,20.0,1.0,1.0,43.57084,SDP MeK0,account.e4ac5756efc34790ab2970f216ce31c5,0.0,3883.9578,0.0,0.0,0.0,1434.0,0.0,2361.2932,9.0,7.0
0,3.0,0.0,1.0,202.6412,byplayer,1.0,2.0,7.0,1.0,3.0,101.70961,IIGuiltyCrownII,account.f8223ca2853e4d97bcd8856cd331f662,1.0,3317.4756,0.0,0.0,0.0,1375.0,0.0,1930.3228,10.0,7.0
0,,,,,,,,,,,,,,,,,,,,,,,
0,0.0,0.0,2.0,173.09172,byplayer,0.0,0.0,16.0,1.0,1.0,7.5324073,Choco Taco X177,account.1d15d72d9fc24af4bd3a0e7bbe2b4ae1,0.0,0.0,0.0,0.0,0.0,1644.0,0.0,1290.1371,3.0,3.0
0,0.0,0.0,0.0,0.0,byplayer,0.0,0.0,60.0,0.0,0.0,0.0,theStrongtestD0,account.5f20aff00be54cceb7e3bd45b3270fe9,0.0,0.0,0.0,0.0,0.0,160.0,0.0,51.80171,3.0,16.0
0,0.0,0.0,3.0,0.0,byplayer,0.0,0.0,50.0,0.0,0.0,0.0,Skoden240,account.e55e9baa759443318a1c97968cd95ccf,0.0,638.7644,0.0,0.0,0.0,746.0,0.0,1002.6094,4.0,13.0
0,0.0,0.0,3.0,77.624756,byplayer,0.0,0.0,36.0,0.0,0.0,0.0,LaTeRaLuS12686,account.6afbaa6d187e48ee94f68cb58c419e43,0.0,5382.632,0.0,0.0,0.0,746.0,0.0,976.3908,4.0,9.0
0,0.0,0.0,3.0,0.0,byplayer,0.0,0.0,34.0,0.0,0.0,0.0,zSiegfried17,account.68a37353e08f45178e2f3f6ee1480b54,0.0,1535.1455,0.0,0.0,0.0,1076.0,0.0,1730.8514,6.0,8.0
0,0.0,0.0,9.0,166.48001,byplayer,0.0,2.0,35.0,0.0,0.0,0.0,TCF ALLSTAR,account.870f084a89be4330a772d3400627a0b3,0.0,5075.3384,0.0,0.0,0.0,1424.0,0.0,1493.6718,7.0,9.0
0,0.0,1.0,7.0,183.01685,byplayer,0.0,1.0,38.0,0.0,0.0,0.0,Chiliwilly9886,account.54cb261722a94eac88d532ed976be81f,0.0,4286.906,0.0,0.0,0.0,1275.0,0.0,1675.6313,4.0,10.0
0,3.0,1.0,3.0,377.13837,byplayer,3.0,1.0,5.0,1.0,4.0,227.90793,Jussst B,account.619d3bc1135e416dbe5e922bcef276ab,0.0,4619.675,0.0,0.0,0.0,945.0,0.0,1911.025,6.0,13.0
0,0.0,0.0,3.0,0.0,byplayer,0.0,0.0,29.0,0.0,0.0,0.0,taylorboy55,account.968b1028d70f430aa68c0b7794bc9a19,0.0,794.7686,0.0,0.0,0.0,799.0,0.0,833.42944,6.0,6.0
0,0.0,1.0,10.0,479.51947,byplayer,1.0,3.0,18.0,1.0,1.0,4.552374,IcedTeaTV,account.8a9b6878e01c4483a136021134e07b55,0.0,3622.4282,0.0,0.0,0.0,1744.0,0.0,1774.3164,3.0,4.0
0,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,
0,1.0,1.0,7.0,199.76862,byplayer,0.0,0.0,39.0,0.0,0.0,0.0,vG Alex88,account.3c62002bce594ad2a7c78d082b95ee12,0.0,4495.1016,0.0,0.0,0.0,1257.0,0.0,1335.8158,4.0,10.0
0,1.0,0.0,7.0,257.1257,byplayer,0.0,2.0,21.0,1.0,1.0,149.97661,Lethal Isyx,account.503839bb4c454587a3c9aa888774b963,0.0,4616.85,0.0,0.0,0.0,1381.0,1.0,1812.0392,5.0,10.0
0,0.0,1.0,4.0,24.306547,byplayer,0.0,3.0,48.0,0.0,0.0,0.0,GHATEKEPT,account.39fa7d7b53884f48811637cafa10ae44,0.0,4109.4604,0.0,0.0,0.0,945.0,0.0,1889.3374,6.0,13.0
0,1.0,1.0,5.0,196.4888,byplayer,1.0,7.0,12.0,1.0,2.0,276.20734,Killer x Skillz,account.9e03c0a092974e1ca2ee2d6c1ce74f75,0.0,6060.933,0.0,0.0,0.0,941.0,0.0,1359.6523,2.0,13.0
0,1.0,0.0,11.0,342.6755,byplayer,0.0,2.0,14.0,1.0,1.0,15.878997,SoyMexicano9318,account.9094769f07274ab7a0a56247cd2a3902,0.0,0.0,0.0,0.0,0.0,1833.0,0.0,1340.884,6.0,3.0
0,0.0,0.0,1.0,0.0,byplayer,0.0,0.0,53.0,0.0,0.0,0.0,SoleCloud709524,account.36315bb9c11a47f99a56c192206ec0da,0.0,5836.6323,0.0,0.0,0.0,841.0,0.0,586.60406,3.0,15.0
0,0.0,0.0,2.0,0.0,byplayer,0.0,0.0,51.0,0.0,0.0,0.0,IllJohnnyb420,account.50433a4a377d456ab944c85d7d661f4c,0.0,1902.6675,0.0,0.0,0.0,568.0,0.0,962.92017,4.0,13.0
0,0.0,0.0,7.0,57.875904,byplayer,0.0,0.0,26.0,0.0,0.0,0.0,GO2HeLL75,account.a7caa187ff874a31aa478fb6e7d19468,0.0,7101.7686,0.0,0.0,0.0,1623.0,0.0,668.87286,3.0,5.0
0,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,
0,3.0,3.0,11.0,534.0344,alive,2.0,11.0,2.0,2.0,6.0,210.7989,ParC YeveLoSuyo,account.63ae17ee640845ab86ed07443907ff30,0.0,7391.641,0.0,0.0,0.0,1960.631,0.0,3626.5852,7.0,1.0
0,0.0,0.0,0.0,0.0,byplayer,0.0,0.0,61.0,0.0,0.0,0.0,UnshodQuill586,account.0a0af05cf9a14d6f872012dead6d950c,0.0,0.0,0.0,0.0,0.0,128.0,0.0,65.63678,2.0,16.0
0,0.0,0.0,10.0,105.70894,byplayer,0.0,7.0,17.0,1.0,1.0,46.643326,BIGG OX 826,account.cad14dc5b662407a92083a72079192f6,0.0,4853.1387,0.0,0.0,0.0,1745.0,0.0,1419.0763,7.0,4.0
0,,,,,,,,,,,,,,,,,,,,,,,
0,0.0,0.0,2.0,0.0,byzone,0.0,0.0,42.0,0.0,0.0,0.0,Walker l4l,account.00734b80890f40bbb5b17c695bfd44d6,0.0,4353.973,0.0,0.0,0.0,992.0,0.0,1461.5219,6.0,11.0
0,4.0,4.0,8.0,522.07465,byzone,3.0,4.0,4.0,1.0,5.0,256.51358,ParC Falcon,account.c88b754c9be74e40bcd03fec48fc0e06,1.0,9341.725,0.0,0.0,0.0,1867.0,0.0,3096.0923,5.0,1.0
0,0.0,0.0,4.0,0.0,byzone,0.0,13.0,44.0,0.0,0.0,0.0,YaK Thizzle1,account.719b7e41787d4269b547e9655c2e6d3b,0.0,856.60846,0.0,0.0,0.0,1011.0,0.0,2693.6104,11.0,12.0
0,1.0,0.0,1.0,100.0,byplayer,0.0,0.0,46.0,0.0,0.0,0.0,YaK AGENT87,account.ab24f7d6f30d4b5fa6745c9ba2255a63,0.0,3183.9517,0.0,0.0,0.0,993.0,0.0,944.40594,5.0,12.0
0,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,
0,0.0,0.0,2.0,19.642855,byplayer,0.0,0.0,32.0,0.0,0.0,0.0,SDA Deatheater,account.df52eda4bab54406bf018d748b940128,0.0,1770.2401,0.0,0.0,0.0,1429.0,0.0,1489.3958,3.0,8.0
0,1.0,0.0,7.0,426.49377,byplayer,1.0,5.0,9.0,1.0,2.0,391.49536,IXlBallistic,account.dbeb2b9a4d7b4d57a9c7c6ac11acfd20,0.0,3434.3513,0.0,0.0,0.0,1737.0,0.0,1327.2295,4.0,4.0
0,2.0,0.0,5.0,366.37646,byplayer,1.0,2.0,11.0,1.0,2.0,17.905674,INSY Gomeezh,account.8c24aaaa21bb4d99ad8510b486f53705,0.0,4410.4575,0.0,0.0,0.0,1295.0,0.0,1487.6138,5.0,10.0
0,0.0,1.0,4.0,56.826,byplayer,0.0,8.0,49.0,0.0,0.0,0.0,GreyStarr1127,account.f5dd92ba8d0744d89fe4e56e6053279f,0.0,4220.107,0.0,0.0,0.0,945.0,0.0,1726.7429,6.0,13.0
0,1.0,1.0,11.0,302.39722,byzone,0.0,3.0,15.0,1.0,1.0,36.90521,WingAngel01,account.7bc8418895f14225b9b975a40e6f1154,0.0,0.0,0.0,0.0,0.0,1661.0,0.0,1351.146,4.0,3.0
0,0.0,0.0,1.0,0.0,byplayer,0.0,4.0,57.0,0.0,0.0,0.0,ReedeepMusic,account.808592868ea64900996ed1860709bf6f,0.0,6579.5186,0.0,0.0,0.0,737.0,0.0,216.90825,3.0,16.0
0,0.0,0.0,1.0,80.64,byplayer,0.0,2.0,28.0,0.0,0.0,0.0,DirtNapIzBack,account.35c50e07df84496c87f8819140eacd5e,0.0,3049.3662,0.0,0.0,0.0,1620.0,0.0,1739.2817,5.0,6.0
0,,,,,,,,,,,,,,,,,,,,,,,
